Run,Temps,A,B,AB,ABA,ABAB 
0,0.765596,4.25,4.48,0.11,0.19,0.23
0,0.766925,4.24,4.48,0.11,0.19,0.23
0,0.772361,4.24,4.47,0.11,0.18,0.24
0,0.778051,4.24,4.46,0.11,0.17,0.25
0,0.781508,4.23,4.46,0.1,0.18,0.25
0,0.789518,4.22,4.46,0.09,0.19,0.25
0,0.796025,4.23,4.46,0.1,0.18,0.25
0,0.798649,4.22,4.46,0.09,0.19,0.25
0,0.79871,4.22,4.45,0.09,0.19,0.25
0,0.802121,4.23,4.45,0.09,0.19,0.25
0,0.8023,4.23,4.44,0.09,0.18,0.26
0,0.806891,4.22,4.44,0.09,0.18,0.26
0,0.808214,4.22,4.43,0.09,0.17,0.27
0,0.811234,4.22,4.44,0.09,0.18,0.26
0,0.813506,4.22,4.44,0.11,0.18,0.25
0,0.819975,4.22,4.44,0.13,0.18,0.24
0,0.820221,4.22,4.45,0.13,0.19,0.23
0,0.820702,4.21,4.45,0.13,0.19,0.23
0,0.825403,4.2,4.45,0.12,0.2,0.23
0,0.832286,4.2,4.44,0.12,0.19,0.24
0,0.833497,4.2,4.43,0.12,0.18,0.25
0,0.837479,4.19,4.43,0.12,0.18,0.25
0,0.837614,4.19,4.42,0.12,0.18,0.25
0,0.841474,4.19,4.41,0.12,0.18,0.25
0,0.843766,4.19,4.41,0.14,0.18,0.24
0,0.848624,4.18,4.41,0.13,0.19,0.24
0,0.856202,4.18,4.4,0.13,0.18,0.25
0,0.856369,4.17,4.4,0.12,0.19,0.25
0,0.858326,4.17,4.39,0.12,0.18,0.26
0,0.85952,4.17,4.38,0.12,0.17,0.27
0,0.860209,4.16,4.38,0.11,0.18,0.27
0,0.861621,4.16,4.39,0.11,0.19,0.26
0,0.863485,4.15,4.39,0.1,0.2,0.26
0,0.869429,4.15,4.38,0.1,0.19,0.27
0,0.878494,4.15,4.38,0.12,0.19,0.26
0,0.883756,4.14,4.38,0.11,0.2,0.26
0,0.887611,4.14,4.37,0.11,0.2,0.26
0,0.905802,4.14,4.36,0.11,0.19,0.27
0,0.911714,4.14,4.37,0.11,0.2,0.26
0,0.912146,4.14,4.36,0.11,0.19,0.27
0,0.922604,4.14,4.35,0.11,0.18,0.28
0,0.923044,4.14,4.34,0.11,0.17,0.29
0,0.923479,4.14,4.33,0.11,0.16,0.3
0,0.927895,4.14,4.33,0.11,0.15,0.3
0,0.929006,4.14,4.34,0.11,0.16,0.29
0,0.930438,4.14,4.33,0.11,0.16,0.29
0,0.93415,4.14,4.34,0.11,0.17,0.28
0,0.934247,4.14,4.33,0.11,0.17,0.28
0,0.93545,4.14,4.32,0.11,0.17,0.28
0,0.939806,4.14,4.31,0.11,0.16,0.29
0,0.942788,4.14,4.3,0.11,0.16,0.29
0,0.946207,4.14,4.29,0.11,0.15,0.3
0,0.948907,4.13,4.29,0.1,0.16,0.3
0,0.954381,4.13,4.28,0.1,0.15,0.31
0,0.955637,4.12,4.28,0.09,0.16,0.31
0,0.964706,4.12,4.27,0.09,0.15,0.32
0,0.964905,4.11,4.27,0.09,0.15,0.32
0,0.965427,4.12,4.27,0.1,0.14,0.32
0,0.969516,4.12,4.27,0.1,0.13,0.32
0,0.971963,4.12,4.26,0.1,0.12,0.33
0,0.972866,4.12,4.27,0.1,0.13,0.32
0,0.974106,4.12,4.27,0.12,0.13,0.31
0,0.974169,4.12,4.26,0.12,0.13,0.31
0,0.994425,4.13,4.26,0.13,0.12,0.31
0,1.00265,4.13,4.25,0.13,0.12,0.31
0,1.0058,4.12,4.25,0.12,0.13,0.31
0,1.00765,4.11,4.25,0.12,0.13,0.31
0,1.0086,4.1,4.25,0.12,0.13,0.31
0,1.00888,4.09,4.25,0.12,0.13,0.31
0,1.00921,4.1,4.25,0.13,0.12,0.31
0,1.00955,4.11,4.25,0.14,0.11,0.31
0,1.01704,4.11,4.26,0.14,0.11,0.31
0,1.01893,4.11,4.25,0.14,0.11,0.31
0,1.01944,4.11,4.26,0.14,0.12,0.3
0,1.02526,4.11,4.25,0.14,0.11,0.31
0,1.02544,4.1,4.25,0.13,0.12,0.31
0,1.02942,4.1,4.24,0.13,0.11,0.32
0,1.03137,4.1,4.23,0.13,0.1,0.33
0,1.03139,4.09,4.23,0.13,0.1,0.33
0,1.03197,4.08,4.23,0.13,0.1,0.33
0,1.03454,4.08,4.22,0.13,0.09,0.34
0,1.03461,4.08,4.23,0.13,0.1,0.33
0,1.04071,4.09,4.23,0.13,0.1,0.33
0,1.04132,4.09,4.22,0.13,0.1,0.33
0,1.04321,4.09,4.23,0.13,0.1,0.33
0,1.04418,4.09,4.22,0.13,0.09,0.34
0,1.0461,4.08,4.22,0.13,0.09,0.34
0,1.04888,4.07,4.22,0.13,0.09,0.34
0,1.05319,4.06,4.22,0.13,0.09,0.34
0,1.05974,4.06,4.21,0.13,0.09,0.34
0,1.06587,4.06,4.2,0.13,0.08,0.35
0,1.06825,4.06,4.2,0.15,0.08,0.34
0,1.06833,4.05,4.2,0.14,0.09,0.34
0,1.0718,4.04,4.2,0.13,0.1,0.34
0,1.07753,4.04,4.2,0.15,0.1,0.33
0,1.07837,4.04,4.21,0.15,0.11,0.32
0,1.07929,4.03,4.21,0.14,0.12,0.32
0,1.08096,4.02,4.21,0.14,0.12,0.32
0,1.08662,4.02,4.2,0.14,0.11,0.33
0,1.09447,4.02,4.21,0.14,0.12,0.32
0,1.10006,4.01,4.21,0.13,0.13,0.32
0,1.10198,4.01,4.2,0.13,0.12,0.33
0,1.10464,4,4.2,0.12,0.13,0.33
0,1.10737,4,4.2,0.12,0.13,0.32
0,1.10784,4,4.19,0.12,0.13,0.32
0,1.10792,4,4.2,0.12,0.14,0.31
0,1.10793,3.99,4.2,0.11,0.15,0.31
0,1.1091,3.98,4.2,0.11,0.15,0.31
0,1.11045,3.98,4.21,0.11,0.16,0.3
0,1.11243,3.98,4.21,0.13,0.16,0.29
0,1.11952,3.97,4.21,0.13,0.16,0.29
0,1.12553,3.96,4.21,0.12,0.17,0.29
0,1.1258,3.96,4.2,0.12,0.17,0.29
0,1.1295,3.96,4.21,0.12,0.18,0.28
0,1.13046,3.96,4.2,0.12,0.17,0.29
0,1.13097,3.96,4.19,0.12,0.17,0.29
0,1.13169,3.96,4.18,0.12,0.16,0.3
0,1.1326,3.95,4.18,0.11,0.17,0.3
0,1.13377,3.94,4.18,0.1,0.18,0.3
0,1.13499,3.94,4.17,0.1,0.17,0.31
0,1.14152,3.94,4.16,0.1,0.17,0.31
0,1.1518,3.94,4.15,0.1,0.16,0.32
0,1.15356,3.93,4.15,0.09,0.17,0.32
0,1.15634,3.92,4.15,0.09,0.17,0.32
0,1.16003,3.92,4.14,0.09,0.17,0.32
0,1.161,3.92,4.14,0.11,0.17,0.31
0,1.16407,3.91,4.14,0.1,0.18,0.31
0,1.17117,3.9,4.14,0.09,0.19,0.31
0,1.1807,3.9,4.15,0.09,0.2,0.3
0,1.18149,3.9,4.15,0.09,0.2,0.29
0,1.19053,3.9,4.16,0.09,0.21,0.28
0,1.19299,3.89,4.16,0.09,0.21,0.28
0,1.19842,3.9,4.16,0.1,0.2,0.28
0,1.19925,3.89,4.16,0.1,0.2,0.28
0,1.20212,3.89,4.16,0.12,0.2,0.27
0,1.20665,3.88,4.16,0.12,0.2,0.27
0,1.21637,3.88,4.15,0.12,0.2,0.27
0,1.22108,3.88,4.14,0.12,0.2,0.27
0,1.22814,3.88,4.15,0.12,0.21,0.26
0,1.22824,3.88,4.16,0.12,0.22,0.25
0,1.22833,3.88,4.15,0.12,0.21,0.26
0,1.22842,3.87,4.15,0.12,0.21,0.26
0,1.23487,3.87,4.14,0.12,0.2,0.27
0,1.23695,3.87,4.13,0.12,0.19,0.28
0,1.23849,3.87,4.12,0.12,0.19,0.28
0,1.23851,3.87,4.11,0.12,0.18,0.29
0,1.24227,3.86,4.11,0.12,0.18,0.29
0,1.24746,3.86,4.1,0.12,0.17,0.3
0,1.24829,3.85,4.1,0.12,0.17,0.3
0,1.25034,3.85,4.09,0.12,0.16,0.31
0,1.25213,3.85,4.08,0.12,0.15,0.32
0,1.25484,3.84,4.08,0.12,0.15,0.32
0,1.25664,3.83,4.08,0.11,0.16,0.32
0,1.26511,3.82,4.08,0.11,0.16,0.32
0,1.27104,3.82,4.08,0.13,0.16,0.31
0,1.27172,3.83,4.08,0.14,0.15,0.31
0,1.27596,3.83,4.07,0.14,0.14,0.32
0,1.27773,3.84,4.07,0.14,0.14,0.32
0,1.27878,3.84,4.08,0.14,0.15,0.31
0,1.28435,3.84,4.09,0.14,0.16,0.3
0,1.2867,3.84,4.08,0.14,0.15,0.31
0,1.30168,3.84,4.07,0.14,0.14,0.32
0,1.30396,3.84,4.06,0.14,0.13,0.33
0,1.30673,3.84,4.07,0.14,0.14,0.32
0,1.30675,3.84,4.08,0.14,0.15,0.31
0,1.31199,3.84,4.08,0.16,0.15,0.3
0,1.31313,3.83,4.08,0.16,0.15,0.3
0,1.31546,3.82,4.08,0.15,0.16,0.3
0,1.32559,3.82,4.07,0.15,0.16,0.3
0,1.32709,3.81,4.07,0.15,0.16,0.3
0,1.33135,3.81,4.08,0.15,0.17,0.29
0,1.33515,3.8,4.08,0.14,0.18,0.29
0,1.33793,3.8,4.09,0.14,0.19,0.28
0,1.34022,3.8,4.09,0.16,0.19,0.27
0,1.34149,3.79,4.09,0.15,0.2,0.27
0,1.34556,3.79,4.09,0.17,0.2,0.26
0,1.34758,3.79,4.1,0.17,0.21,0.25
0,1.34845,3.79,4.09,0.17,0.21,0.25
0,1.35272,3.78,4.09,0.17,0.21,0.25
0,1.35695,3.77,4.09,0.17,0.21,0.25
0,1.36323,3.77,4.08,0.17,0.2,0.26
0,1.36884,3.77,4.09,0.17,0.21,0.25
0,1.37326,3.77,4.1,0.17,0.21,0.25
0,1.3737,3.77,4.09,0.17,0.2,0.26
0,1.37407,3.77,4.08,0.17,0.2,0.26
0,1.38192,3.77,4.07,0.17,0.19,0.27
0,1.3825,3.76,4.07,0.16,0.2,0.27
0,1.38461,3.76,4.06,0.16,0.19,0.28
0,1.38703,3.75,4.06,0.15,0.2,0.28
0,1.39716,3.75,4.05,0.15,0.19,0.29
0,1.39716,3.75,4.04,0.15,0.18,0.3
0,1.39926,3.74,4.04,0.15,0.18,0.3
0,1.39977,3.74,4.04,0.17,0.18,0.29
0,1.40405,3.74,4.03,0.17,0.17,0.3
0,1.40908,3.74,4.02,0.17,0.16,0.31
0,1.41194,3.73,4.02,0.17,0.16,0.31
0,1.41288,3.72,4.02,0.16,0.17,0.31
0,1.41435,3.72,4.03,0.16,0.18,0.3
0,1.41497,3.71,4.03,0.15,0.19,0.3
0,1.41834,3.71,4.02,0.15,0.18,0.31
0,1.42162,3.71,4.01,0.15,0.17,0.32
0,1.43086,3.71,4.01,0.17,0.17,0.31
0,1.43335,3.71,4,0.17,0.16,0.32
0,1.43754,3.71,3.99,0.17,0.15,0.33
0,1.43851,3.7,3.99,0.16,0.16,0.33
0,1.44554,3.7,3.98,0.16,0.15,0.34
0,1.45146,3.7,3.99,0.16,0.16,0.33
0,1.45665,3.7,4,0.16,0.17,0.32
0,1.45689,3.7,4.01,0.16,0.17,0.32
0,1.46091,3.7,4,0.16,0.17,0.32
0,1.46129,3.7,3.99,0.16,0.16,0.33
0,1.46572,3.69,3.99,0.15,0.17,0.33
0,1.46915,3.69,3.98,0.15,0.17,0.33
0,1.48017,3.69,3.98,0.17,0.17,0.32
0,1.48101,3.69,3.98,0.15,0.17,0.33
0,1.4823,3.68,3.98,0.15,0.17,0.33
0,1.48468,3.68,3.97,0.15,0.16,0.34
0,1.4914,3.68,3.97,0.17,0.16,0.33
0,1.49146,3.68,3.96,0.17,0.15,0.34
0,1.4931,3.68,3.95,0.17,0.15,0.34
0,1.49624,3.68,3.95,0.17,0.15,0.33
0,1.49867,3.68,3.94,0.17,0.15,0.33
0,1.51254,3.67,3.94,0.17,0.15,0.33
0,1.51338,3.66,3.94,0.17,0.15,0.33
0,1.51666,3.65,3.94,0.17,0.15,0.33
0,1.51774,3.64,3.94,0.17,0.15,0.33
0,1.51839,3.64,3.93,0.17,0.15,0.33
0,1.52248,3.64,3.92,0.17,0.14,0.34
0,1.52327,3.64,3.92,0.19,0.14,0.33
0,1.52708,3.64,3.91,0.19,0.13,0.34
0,1.529,3.63,3.91,0.18,0.14,0.34
0,1.53106,3.62,3.91,0.17,0.15,0.34
0,1.53451,3.61,3.91,0.16,0.16,0.34
0,1.53506,3.61,3.9,0.16,0.15,0.35
0,1.53532,3.61,3.9,0.18,0.15,0.34
0,1.54137,3.61,3.89,0.18,0.15,0.34
0,1.54505,3.6,3.89,0.18,0.15,0.34
0,1.54618,3.6,3.9,0.18,0.15,0.34
0,1.54661,3.59,3.9,0.17,0.16,0.34
0,1.55024,3.59,3.9,0.15,0.16,0.35
0,1.55104,3.58,3.9,0.14,0.17,0.35
0,1.55959,3.58,3.91,0.14,0.18,0.34
0,1.55972,3.58,3.91,0.16,0.18,0.33
0,1.56065,3.58,3.9,0.16,0.17,0.34
0,1.56914,3.58,3.89,0.16,0.17,0.34
0,1.57016,3.58,3.89,0.18,0.17,0.33
0,1.57879,3.58,3.88,0.18,0.16,0.34
0,1.57977,3.57,3.88,0.18,0.16,0.34
0,1.58118,3.58,3.88,0.19,0.15,0.34
0,1.58512,3.58,3.89,0.19,0.16,0.33
0,1.58601,3.57,3.89,0.19,0.16,0.33
0,1.58813,3.56,3.89,0.18,0.17,0.33
0,1.59434,3.56,3.88,0.18,0.16,0.34
0,1.59772,3.55,3.88,0.17,0.17,0.34
0,1.59814,3.55,3.87,0.17,0.17,0.34
0,1.59976,3.54,3.87,0.17,0.17,0.34
0,1.60026,3.53,3.87,0.16,0.18,0.34
0,1.60109,3.53,3.86,0.16,0.17,0.35
0,1.60213,3.53,3.85,0.16,0.17,0.35
0,1.60222,3.53,3.85,0.18,0.17,0.34
0,1.60315,3.53,3.86,0.18,0.17,0.34
0,1.60345,3.53,3.85,0.18,0.17,0.34
