Temps,A,B,AB,ABA,ABAB
115,0.495639,0.496497,0.00227598,0.000858598,0.000209356
115.1,0.495655,0.496511,0.00226712,0.000855272,0.00020854
115.2,0.495672,0.496524,0.00225831,0.000851959,0.000207728
115.3,0.495688,0.496537,0.00224952,0.000848659,0.000206918
115.4,0.495705,0.49655,0.00224078,0.000845372,0.000206112
115.5,0.495721,0.496563,0.00223207,0.000842098,0.000205309
115.6,0.495738,0.496576,0.00222339,0.000838838,0.00020451
115.7,0.495754,0.496589,0.00221475,0.00083559,0.000203713
115.8,0.49577,0.496602,0.00220614,0.000832355,0.00020292
115.9,0.495786,0.496615,0.00219757,0.000829134,0.00020213
116,0.495802,0.496628,0.00218903,0.000825925,0.000201343
116.1,0.495818,0.496641,0.00218053,0.000822729,0.00020056
116.2,0.495834,0.496654,0.00217206,0.000819546,0.000199779
116.3,0.49585,0.496666,0.00216363,0.000816375,0.000199002
116.4,0.495866,0.496679,0.00215522,0.000813217,0.000198228
116.5,0.495882,0.496692,0.00214686,0.000810072,0.000197457
116.6,0.495897,0.496704,0.00213852,0.000806939,0.000196689
116.7,0.495913,0.496717,0.00213022,0.000803819,0.000195924
116.8,0.495929,0.496729,0.00212196,0.000800711,0.000195162
116.9,0.495944,0.496742,0.00211372,0.000797615,0.000194404
117,0.49596,0.496754,0.00210552,0.000794532,0.000193648
117.1,0.495975,0.496766,0.00209735,0.000791461,0.000192896
117.2,0.49599,0.496779,0.00208922,0.000788402,0.000192146
117.3,0.496006,0.496791,0.00208112,0.000785356,0.0001914
117.4,0.496021,0.496803,0.00207305,0.000782321,0.000190656
117.5,0.496036,0.496815,0.00206501,0.000779299,0.000189915
117.6,0.496051,0.496827,0.002057,0.000776289,0.000189178
117.7,0.496066,0.496839,0.00204903,0.00077329,0.000188443
117.8,0.496081,0.496851,0.00204109,0.000770304,0.000187712
117.9,0.496096,0.496863,0.00203318,0.000767329,0.000186983
118,0.496111,0.496875,0.0020253,0.000764367,0.000186257
118.1,0.496126,0.496887,0.00201745,0.000761416,0.000185534
118.2,0.496141,0.496899,0.00200964,0.000758477,0.000184814
118.3,0.496155,0.496911,0.00200185,0.000755549,0.000184097
118.4,0.49617,0.496923,0.0019941,0.000752633,0.000183383
118.5,0.496185,0.496934,0.00198638,0.000749729,0.000182672
118.6,0.496199,0.496946,0.00197869,0.000746836,0.000181963
118.7,0.496214,0.496957,0.00197103,0.000743954,0.000181258
118.8,0.496228,0.496969,0.0019634,0.000741084,0.000180555
118.9,0.496242,0.496981,0.0019558,0.000738226,0.000179855
119,0.496257,0.496992,0.00194823,0.000735379,0.000179158
119.1,0.496271,0.497003,0.00194069,0.000732543,0.000178463
119.2,0.496285,0.497015,0.00193318,0.000729718,0.000177772
119.3,0.496299,0.497026,0.0019257,0.000726904,0.000177083
119.4,0.496313,0.497037,0.00191825,0.000724102,0.000176397
119.5,0.496327,0.497049,0.00191083,0.000721311,0.000175713
119.6,0.496341,0.49706,0.00190344,0.000718531,0.000175033
119.7,0.496355,0.497071,0.00189608,0.000715761,0.000174355
119.8,0.496369,0.497082,0.00188875,0.000713003,0.00017368
119.9,0.496383,0.497093,0.00188145,0.000710256,0.000173007
120,0.496397,0.497104,0.00187417,0.000707519,0.000172337
120.1,0.496411,0.497115,0.00186693,0.000704794,0.00017167
120.2,0.496424,0.497126,0.00185972,0.000702079,0.000171006
120.3,0.496438,0.497137,0.00185253,0.000699375,0.000170344
120.4,0.496451,0.497148,0.00184537,0.000696681,0.000169685
120.5,0.496465,0.497159,0.00183824,0.000693998,0.000169028
120.6,0.496478,0.49717,0.00183114,0.000691326,0.000168374
120.7,0.496492,0.49718,0.00182407,0.000688665,0.000167723
120.8,0.496505,0.497191,0.00181702,0.000686014,0.000167074
120.9,0.496518,0.497202,0.00181001,0.000683373,0.000166428
121,0.496532,0.497212,0.00180302,0.000680743,0.000165784
121.1,0.496545,0.497223,0.00179606,0.000678123,0.000165143
121.2,0.496558,0.497234,0.00178912,0.000675513,0.000164505
121.3,0.496571,0.497244,0.00178222,0.000672914,0.000163869
121.4,0.496584,0.497255,0.00177534,0.000670325,0.000163236
121.5,0.496597,0.497265,0.00176849,0.000667747,0.000162605
121.6,0.49661,0.497275,0.00176167,0.000665178,0.000161977
121.7,0.496623,0.497286,0.00175487,0.00066262,0.000161351
121.8,0.496636,0.497296,0.0017481,0.000660071,0.000160727
121.9,0.496649,0.497306,0.00174136,0.000657533,0.000160107
122,0.496662,0.497317,0.00173464,0.000655005,0.000159488
122.1,0.496674,0.497327,0.00172795,0.000652486,0.000158872
122.2,0.496687,0.497337,0.00172129,0.000649978,0.000158259
122.3,0.4967,0.497347,0.00171465,0.000647479,0.000157648
122.4,0.496712,0.497357,0.00170804,0.000644991,0.000157039
122.5,0.496725,0.497367,0.00170146,0.000642512,0.000156433
122.6,0.496737,0.497377,0.0016949,0.000640043,0.000155829
122.7,0.496749,0.497387,0.00168836,0.000637583,0.000155228
122.8,0.496762,0.497397,0.00168186,0.000635134,0.000154629
122.9,0.496774,0.497407,0.00167538,0.000632694,0.000154032
123,0.496786,0.497417,0.00166892,0.000630263,0.000153438
123.1,0.496799,0.497427,0.00166249,0.000627842,0.000152846
123.2,0.496811,0.497436,0.00165609,0.000625431,0.000152256
123.3,0.496823,0.497446,0.00164971,0.000623029,0.000151669
123.4,0.496835,0.497456,0.00164336,0.000620637,0.000151084
123.5,0.496847,0.497465,0.00163703,0.000618253,0.000150502
123.6,0.496859,0.497475,0.00163073,0.00061588,0.000149921
123.7,0.496871,0.497485,0.00162445,0.000613515,0.000149344
123.8,0.496883,0.497494,0.00161819,0.00061116,0.000148768
123.9,0.496895,0.497504,0.00161196,0.000608814,0.000148194
124,0.496907,0.497513,0.00160576,0.000606478,0.000147623
124.1,0.496918,0.497523,0.00159958,0.00060415,0.000147054
124.2,0.49693,0.497532,0.00159342,0.000601832,0.000146488
124.3,0.496942,0.497541,0.00158729,0.000599523,0.000145924
124.4,0.496953,0.497551,0.00158119,0.000597223,0.000145361
124.5,0.496965,0.49756,0.0015751,0.000594932,0.000144801
124.6,0.496977,0.497569,0.00156904,0.000592649,0.000144244
124.7,0.496988,0.497578,0.00156301,0.000590376,0.000143688
124.8,0.497,0.497588,0.001557,0.000588112,0.000143135
124.9,0.497011,0.497597,0.00155101,0.000585857,0.000142584
125,0.497022,0.497606,0.00154505,0.00058361,0.000142035
125.1,0.497034,0.497615,0.00153911,0.000581372,0.000141488
125.2,0.497045,0.497624,0.00153319,0.000579143,0.000140944
125.3,0.497056,0.497633,0.0015273,0.000576923,0.000140401
125.4,0.497067,0.497642,0.00152143,0.000574712,0.000139861
125.5,0.497078,0.497651,0.00151558,0.000572509,0.000139323
125.6,0.49709,0.49766,0.00150975,0.000570315,0.000138787
125.7,0.497101,0.497669,0.00150395,0.000568129,0.000138253
125.8,0.497112,0.497678,0.00149817,0.000565952,0.000137721
125.9,0.497123,0.497686,0.00149242,0.000563783,0.000137191
126,0.497134,0.497695,0.00148668,0.000561623,0.000136664
126.1,0.497144,0.497704,0.00148097,0.000559472,0.000136138
126.2,0.497155,0.497713,0.00147529,0.000557328,0.000135614
126.3,0.497166,0.497721,0.00146962,0.000555194,0.000135093
126.4,0.497177,0.49773,0.00146398,0.000553067,0.000134574
126.5,0.497188,0.497739,0.00145835,0.000550949,0.000134056
126.6,0.497198,0.497747,0.00145276,0.000548839,0.000133541
126.7,0.497209,0.497756,0.00144718,0.000546737,0.000133028
126.8,0.49722,0.497764,0.00144162,0.000544644,0.000132517
126.9,0.49723,0.497773,0.00143609,0.000542559,0.000132007
127,0.497241,0.497781,0.00143058,0.000540482,0.0001315
127.1,0.497251,0.49779,0.00142509,0.000538413,0.000130995
127.2,0.497262,0.497798,0.00141962,0.000536352,0.000130492
127.3,0.497272,0.497806,0.00141417,0.000534299,0.00012999
127.4,0.497282,0.497815,0.00140875,0.000532254,0.000129491
127.5,0.497293,0.497823,0.00140334,0.000530217,0.000128994
127.6,0.497303,0.497831,0.00139796,0.000528188,0.000128498
127.7,0.497313,0.497839,0.0013926,0.000526168,0.000128005
127.8,0.497323,0.497848,0.00138725,0.000524154,0.000127514
127.9,0.497334,0.497856,0.00138193,0.000522149,0.000127024
128,0.497344,0.497864,0.00137663,0.000520152,0.000126536
128.1,0.497354,0.497872,0.00137136,0.000518162,0.000126051
128.2,0.497364,0.49788,0.0013661,0.00051618,0.000125567
128.3,0.497374,0.497888,0.00136086,0.000514206,0.000125085
128.4,0.497384,0.497896,0.00135564,0.00051224,0.000124605
128.5,0.497394,0.497904,0.00135045,0.000510281,0.000124127
128.6,0.497404,0.497912,0.00134527,0.00050833,0.000123651
128.7,0.497414,0.49792,0.00134012,0.000506387,0.000123176
128.8,0.497423,0.497928,0.00133498,0.000504451,0.000122704
128.9,0.497433,0.497936,0.00132987,0.000502522,0.000122233
129,0.497443,0.497944,0.00132477,0.000500601,0.000121764
129.1,0.497453,0.497951,0.00131969,0.000498688,0.000121297
129.2,0.497462,0.497959,0.00131464,0.000496782,0.000120832
129.3,0.497472,0.497967,0.0013096,0.000494884,0.000120369
129.4,0.497482,0.497975,0.00130459,0.000492993,0.000119907
129.5,0.497491,0.497982,0.00129959,0.000491109,0.000119448
129.6,0.497501,0.49799,0.00129461,0.000489232,0.00011899
129.7,0.49751,0.497998,0.00128966,0.000487363,0.000118534
129.8,0.49752,0.498005,0.00128472,0.000485501,0.000118079
129.9,0.497529,0.498013,0.0012798,0.000483647,0.000117627
130,0.497538,0.49802,0.0012749,0.000481799,0.000117176
130.1,0.497548,0.498028,0.00127002,0.000479959,0.000116727
130.2,0.497557,0.498035,0.00126516,0.000478126,0.00011628
130.3,0.497566,0.498043,0.00126031,0.0004763,0.000115834
