Run,Temps,A,B 
0,2.29219,0.908,0.886
0,2.2924,0.906,0.886
0,2.29257,0.904,0.886
0,2.29986,0.904,0.884
0,2.32472,0.904,0.882
0,2.33186,0.902,0.882
0,2.33531,0.9,0.882
0,2.33584,0.898,0.882
0,2.33644,0.898,0.88
0,2.34348,0.896,0.88
0,2.37633,0.896,0.878
0,2.3799,0.898,0.878
0,2.40105,0.9,0.878
0,2.40426,0.9,0.876
0,2.40891,0.898,0.876
0,2.41385,0.896,0.876
0,2.42128,0.896,0.874
0,2.43033,0.894,0.874
0,2.43442,0.892,0.874
0,2.46537,0.892,0.876
0,2.46565,0.892,0.874
0,2.46603,0.892,0.876
0,2.48157,0.892,0.874
0,2.48604,0.89,0.874
0,2.48953,0.89,0.872
0,2.49803,0.892,0.872
0,2.52169,0.892,0.87
0,2.52185,0.892,0.868
0,2.5406,0.892,0.866
0,2.54458,0.89,0.866
0,2.54774,0.888,0.866
0,2.54942,0.886,0.866
0,2.55793,0.884,0.866
0,2.61078,0.884,0.864
0,2.63154,0.886,0.864
0,2.64005,0.884,0.864
0,2.65558,0.884,0.862
0,2.66409,0.884,0.86
0,2.6681,0.886,0.86
0,2.67918,0.888,0.86
0,2.69022,0.886,0.86
0,2.70265,0.886,0.862
0,2.70298,0.886,0.864
0,2.70408,0.888,0.864
0,2.70451,0.888,0.866
0,2.70702,0.888,0.864
0,2.71157,0.888,0.866
0,2.7118,0.886,0.866
0,2.72088,0.886,0.868
0,2.72116,0.884,0.868
0,2.72479,0.882,0.868
0,2.7257,0.884,0.868
0,2.7291,0.884,0.87
0,2.74206,0.884,0.868
0,2.74818,0.882,0.868
0,2.76085,0.882,0.866
0,2.76908,0.88,0.866
0,2.7738,0.882,0.866
0,2.79626,0.88,0.866
0,2.80164,0.88,0.864
0,2.80181,0.88,0.866
0,2.8151,0.878,0.866
0,2.83997,0.878,0.864
0,2.85894,0.88,0.864
0,2.86311,0.882,0.864
0,2.86762,0.88,0.864
0,2.88772,0.88,0.862
0,2.88995,0.878,0.862
0,2.8905,0.878,0.864
0,2.90435,0.88,0.864
0,2.90445,0.88,0.862
0,2.90562,0.882,0.862
0,2.91304,0.88,0.862
0,2.9208,0.88,0.864
0,2.92585,0.88,0.862
0,2.93038,0.878,0.862
0,2.9316,0.88,0.862
0,2.94242,0.88,0.86
0,2.94769,0.878,0.86
0,2.96833,0.876,0.86
0,2.97789,0.876,0.858
0,2.97924,0.874,0.858
0,2.99035,0.874,0.86
0,2.99579,0.874,0.862
0,2.99988,0.876,0.862
0,3.00079,0.876,0.864
0,3.00162,0.876,0.866
0,3.00203,0.876,0.864
0,3.00802,0.876,0.862
0,3.01758,0.874,0.862
0,3.04819,0.872,0.862
0,3.05207,0.872,0.86
0,3.05491,0.874,0.86
0,3.0606,0.874,0.858
0,3.06065,0.874,0.856
0,3.06396,0.874,0.854
0,3.07278,0.874,0.856
0,3.07321,0.874,0.854
0,3.07596,0.872,0.854
0,3.07694,0.872,0.852
0,3.09197,0.872,0.85
0,3.10041,0.872,0.852
0,3.11543,0.872,0.85
0,3.13741,0.87,0.85
0,3.13811,0.87,0.852
0,3.13921,0.87,0.854
0,3.1415,0.868,0.854
0,3.14262,0.866,0.854
0,3.14426,0.866,0.852
0,3.15095,0.866,0.854
0,3.15698,0.866,0.856
0,3.16207,0.864,0.856
0,3.16586,0.866,0.856
0,3.17326,0.868,0.856
0,3.17529,0.866,0.856
0,3.17978,0.866,0.854
0,3.19323,0.866,0.852
0,3.20879,0.864,0.852
0,3.20895,0.862,0.852
0,3.21993,0.862,0.854
0,3.22047,0.864,0.854
0,3.22304,0.864,0.856
0,3.22456,0.866,0.856
0,3.22815,0.868,0.856
0,3.23388,0.868,0.854
0,3.24154,0.868,0.852
0,3.24589,0.868,0.854
0,3.25108,0.866,0.854
0,3.25385,0.864,0.854
0,3.2556,0.862,0.854
0,3.25932,0.86,0.854
0,3.2596,0.86,0.856
0,3.27078,0.86,0.854
0,3.28154,0.86,0.852
0,3.29365,0.858,0.852
0,3.30573,0.86,0.852
0,3.31024,0.862,0.852
0,3.31511,0.864,0.852
0,3.32004,0.864,0.85
0,3.3216,0.862,0.85
0,3.36245,0.864,0.85
0,3.36899,0.864,0.848
0,3.37175,0.862,0.848
0,3.38012,0.86,0.848
0,3.38167,0.858,0.848
0,3.3855,0.858,0.846
0,3.38879,0.858,0.844
0,3.39621,0.858,0.842
0,3.40881,0.86,0.842
0,3.4093,0.86,0.84
0,3.41364,0.86,0.838
0,3.41769,0.86,0.836
0,3.42405,0.858,0.836
0,3.42708,0.858,0.838
0,3.42961,0.856,0.838
0,3.44464,0.854,0.838
0,3.46622,0.856,0.838
0,3.47517,0.856,0.836
0,3.4798,0.854,0.836
0,3.48763,0.856,0.836
0,3.49475,0.854,0.836
0,3.49714,0.854,0.834
0,3.49777,0.854,0.836
0,3.49811,0.854,0.834
0,3.50511,0.854,0.832
0,3.51281,0.854,0.83
0,3.51847,0.852,0.83
0,3.52411,0.85,0.83
0,3.52426,0.85,0.828
0,3.52789,0.848,0.828
0,3.52949,0.846,0.828
0,3.53214,0.848,0.828
0,3.5323,0.85,0.828
0,3.54135,0.85,0.826
0,3.54832,0.85,0.824
0,3.55239,0.848,0.824
0,3.56672,0.848,0.822
0,3.58839,0.848,0.82
0,3.60372,0.848,0.822
0,3.60706,0.848,0.824
0,3.60921,0.848,0.826
0,3.61321,0.846,0.826
0,3.61331,0.844,0.826
0,3.64311,0.842,0.826
0,3.65941,0.842,0.824
0,3.66011,0.84,0.824
0,3.68107,0.84,0.826
0,3.68114,0.838,0.826
0,3.69309,0.838,0.824
0,3.69957,0.838,0.822
0,3.71043,0.838,0.82
0,3.72241,0.836,0.82
0,3.72454,0.834,0.82
0,3.72859,0.834,0.822
0,3.7294,0.834,0.82
0,3.7326,0.836,0.82
0,3.73795,0.836,0.818
0,3.74278,0.834,0.818
0,3.74686,0.834,0.82
0,3.74918,0.834,0.818
0,3.77135,0.832,0.818
0,3.78728,0.832,0.82
0,3.79517,0.83,0.82
0,3.79737,0.83,0.822
0,3.81751,0.832,0.822
0,3.82876,0.832,0.82
0,3.83106,0.832,0.818
0,3.83127,0.832,0.816
0,3.85194,0.834,0.816
0,3.85729,0.832,0.816
0,3.86449,0.83,0.816
0,3.86475,0.828,0.816
0,3.87687,0.83,0.816
0,3.88015,0.828,0.816
0,3.88974,0.826,0.816
0,3.89205,0.826,0.814
0,3.89466,0.828,0.814
0,3.90871,0.826,0.814
0,3.90959,0.828,0.814
0,3.94698,0.826,0.814
0,3.94914,0.826,0.812
0,3.95752,0.826,0.81
0,3.96175,0.824,0.81
0,3.96303,0.826,0.81
0,3.98304,0.826,0.812
0,3.989,0.826,0.81
0,4.00322,0.824,0.81
0,4.00734,0.824,0.812
0,4.01415,0.822,0.812
0,4.0235,0.82,0.812
0,4.02966,0.818,0.812
0,4.03564,0.82,0.812
0,4.04095,0.822,0.812
0,4.04349,0.822,0.81
0,4.05447,0.822,0.812
0,4.05649,0.82,0.812
0,4.06973,0.82,0.81
0,4.07412,0.818,0.81
0,4.09572,0.818,0.812
0,4.11556,0.816,0.812
0,4.13975,0.816,0.81
0,4.1427,0.818,0.81
0,4.15157,0.82,0.81
0,4.17105,0.822,0.81
0,4.18036,0.82,0.81
0,4.18973,0.82,0.812
0,4.19586,0.818,0.812
0,4.19747,0.816,0.812
0,4.20115,0.816,0.814
0,4.20688,0.818,0.814
0,4.20918,0.816,0.814
0,4.21051,0.816,0.816
0,4.22394,0.816,0.818
0,4.23226,0.814,0.818
0,4.23233,0.812,0.818
0,4.233,0.81,0.818
0,4.243,0.812,0.818
0,4.25186,0.812,0.82
0,4.25513,0.812,0.818
0,4.25947,0.814,0.818
0,4.26273,0.816,0.818
0,4.27174,0.816,0.816
0,4.27405,0.818,0.816
0,4.2755,0.82,0.816
0,4.27617,0.818,0.816
0,4.29263,0.82,0.816
0,4.30832,0.822,0.816
0,4.31085,0.822,0.818
0,4.31753,0.822,0.816
0,4.33073,0.824,0.816
0,4.3468,0.824,0.814
0,4.36194,0.824,0.816
0,4.36723,0.824,0.818
0,4.40137,0.824,0.816
0,4.40226,0.824,0.814
0,4.40394,0.824,0.812
0,4.40637,0.826,0.812
0,4.40733,0.826,0.81
0,4.40905,0.828,0.81
0,4.41355,0.828,0.812
0,4.42005,0.83,0.812
0,4.43332,0.832,0.812
0,4.43456,0.83,0.812
0,4.43807,0.83,0.814
0,4.44047,0.832,0.814
0,4.46275,0.834,0.814
0,4.46477,0.832,0.814
0,4.48493,0.832,0.812
0,4.49179,0.832,0.81
0,4.49756,0.83,0.81
0,4.50099,0.828,0.81
0,4.50377,0.826,0.81
0,4.51311,0.826,0.812
0,4.52104,0.826,0.81
0,4.52106,0.824,0.81
0,4.53496,0.822,0.81
0,4.54594,0.822,0.812
0,4.55038,0.824,0.812
0,4.56886,0.824,0.814
0,4.57369,0.824,0.816
0,4.57938,0.824,0.814
0,4.58703,0.824,0.812
0,4.58819,0.822,0.812
0,4.60008,0.822,0.81
0,4.61374,0.82,0.81
0,4.61527,0.82,0.808
0,4.63777,0.822,0.808
0,4.64185,0.82,0.808
0,4.65298,0.82,0.806
0,4.66242,0.818,0.806
0,4.6671,0.818,0.808
0,4.68102,0.816,0.808
0,4.68981,0.818,0.808
0,4.69762,0.816,0.808
0,4.70346,0.816,0.81
0,4.70464,0.816,0.812
0,4.74334,0.818,0.812
0,4.74398,0.816,0.812
0,4.74809,0.816,0.814
0,4.75773,0.818,0.814
0,4.76451,0.816,0.814
0,4.7842,0.814,0.814
0,4.80055,0.816,0.814
0,4.80423,0.816,0.812
0,4.80486,0.816,0.814
0,4.805,0.816,0.816
0,4.80818,0.816,0.818
0,4.82303,0.814,0.818
0,4.8256,0.812,0.818
0,4.82795,0.812,0.816
0,4.83088,0.812,0.814
0,4.84398,0.812,0.812
0,4.84598,0.812,0.814
0,4.85662,0.81,0.814
0,4.8614,0.808,0.814
0,4.86543,0.806,0.814
0,4.87067,0.806,0.812
0,4.87825,0.804,0.812
0,4.8811,0.806,0.812
0,4.88811,0.804,0.812
0,4.89028,0.804,0.814
0,4.90206,0.802,0.814
0,4.90895,0.8,0.814
0,4.90905,0.802,0.814
0,4.91603,0.8,0.814
0,4.91813,0.8,0.816
0,4.92037,0.802,0.816
0,4.92497,0.804,0.816
0,4.92864,0.802,0.816
0,4.94479,0.802,0.818
0,4.95655,0.8,0.818
0,4.97007,0.8,0.82
0,4.9858,0.802,0.82
0,5.00418,0.8,0.82
0,5.00458,0.8,0.822
0,5.00631,0.802,0.822
0,5.0071,0.802,0.82
0,5.01737,0.802,0.818
0,5.01883,0.8,0.818
0,5.03737,0.802,0.818
0,5.03766,0.8,0.818
0,5.0393,0.8,0.82
0,5.04198,0.802,0.82
0,5.04374,0.8,0.82
0,5.06301,0.8,0.822
0,5.07074,0.798,0.822
0,5.07448,0.8,0.822
0,5.0909,0.802,0.822
0,5.09581,0.802,0.82
0,5.10018,0.802,0.822
0,5.10112,0.8,0.822
0,5.1565,0.8,0.82
0,5.15915,0.798,0.82
0,5.17238,0.798,0.822
0,5.17971,0.798,0.82
0,5.17997,0.796,0.82
0,5.18003,0.798,0.82
0,5.18018,0.8,0.82
0,5.18376,0.802,0.82
0,5.19157,0.8,0.82
0,5.19507,0.8,0.822
0,5.1998,0.802,0.822
0,5.21192,0.804,0.822
0,5.23562,0.802,0.822
0,5.24567,0.802,0.82
0,5.24957,0.802,0.818
0,5.25023,0.8,0.818
0,5.25294,0.8,0.816
0,5.26037,0.802,0.816
0,5.26734,0.8,0.816
0,5.27854,0.798,0.816
0,5.28675,0.798,0.814
0,5.29817,0.8,0.814
0,5.30053,0.798,0.814
0,5.30381,0.796,0.814
0,5.33403,0.796,0.812
0,5.33635,0.796,0.814
0,5.34117,0.796,0.812
0,5.34201,0.798,0.812
0,5.34313,0.8,0.812
0,5.34986,0.798,0.812
0,5.36641,0.798,0.814
0,5.37046,0.796,0.814
0,5.37464,0.796,0.812
0,5.38487,0.794,0.812
0,5.38703,0.794,0.81
0,5.41779,0.794,0.812
0,5.41811,0.794,0.81
0,5.42038,0.794,0.812
0,5.42094,0.792,0.812
0,5.43401,0.792,0.81
0,5.43803,0.792,0.808
0,5.44368,0.792,0.81
0,5.45447,0.792,0.808
0,5.4574,0.79,0.808
0,5.46857,0.79,0.806
0,5.47442,0.792,0.806
0,5.48148,0.794,0.806
0,5.48496,0.794,0.804
0,5.48679,0.794,0.806
0,5.50257,0.796,0.806
0,5.51444,0.796,0.808
0,5.51946,0.798,0.808
0,5.53639,0.798,0.806
0,5.5469,0.796,0.806
0,5.5537,0.796,0.808
0,5.55381,0.796,0.806
0,5.56199,0.798,0.806
0,5.56301,0.796,0.806
0,5.571,0.796,0.808
0,5.57138,0.796,0.806
0,5.57209,0.794,0.806
0,5.5722,0.792,0.806
0,5.58248,0.792,0.808
0,5.59687,0.79,0.808
0,5.60129,0.79,0.81
0,5.63198,0.79,0.808
0,5.63855,0.79,0.806
0,5.6429,0.79,0.804
0,5.67191,0.79,0.802
0,5.67547,0.79,0.8
0,5.68529,0.788,0.8
0,5.69038,0.788,0.802
0,5.71511,0.786,0.802
0,5.71881,0.784,0.802
0,5.73152,0.786,0.802
0,5.73277,0.784,0.802
0,5.74457,0.784,0.804
0,5.75143,0.784,0.806
0,5.75296,0.784,0.804
0,5.75511,0.782,0.804
0,5.76262,0.78,0.804
0,5.76362,0.78,0.806
0,5.76778,0.778,0.806
0,5.7744,0.776,0.806
0,5.8066,0.778,0.806
0,5.82794,0.778,0.808
0,5.83578,0.778,0.806
0,5.85586,0.778,0.808
0,5.85682,0.778,0.806
0,5.86747,0.78,0.806
0,5.8693,0.782,0.806
0,5.89747,0.782,0.808
0,5.91985,0.782,0.806
0,5.92208,0.782,0.804
0,5.93126,0.782,0.802
0,5.9423,0.784,0.802
0,5.94254,0.784,0.804
0,5.94604,0.784,0.802
0,5.94745,0.786,0.802
0,5.95467,0.784,0.802
0,5.9566,0.782,0.802
0,5.97114,0.78,0.802
0,5.97415,0.78,0.804
0,5.97633,0.778,0.804
0,5.98109,0.778,0.802
0,5.98377,0.778,0.804
0,5.98828,0.776,0.804
0,5.98984,0.776,0.802
0,5.99235,0.778,0.802
0,5.99966,0.778,0.8
0,6.0035,0.778,0.798
0,6.00606,0.78,0.798
0,6.02125,0.78,0.796
0,6.02487,0.78,0.794
0,6.03533,0.78,0.792
0,6.03708,0.78,0.79
0,6.0497,0.78,0.788
0,6.055,0.778,0.788
0,6.05568,0.778,0.786
0,6.06354,0.78,0.786
0,6.06575,0.78,0.788
0,6.06719,0.78,0.79
0,6.0673,0.78,0.788
0,6.1029,0.782,0.788
0,6.10766,0.78,0.788
0,6.1185,0.78,0.786
0,6.12528,0.782,0.786
