Temps,A,B,C,AB,ABA,ABAB,ABC,ABCB,CB,CBC,CBCB
7,1.05844,1.19927,1.63944,0.228508,0.153477,0.112363,0.00324921,0.00215688,0.0039653,0.00319526,0.00166265
7.1,1.04957,1.19165,1.63874,0.231548,0.155124,0.113503,0.00332586,0.00220603,0.00409001,0.00330992,0.00171514
7.2,1.04075,1.18407,1.63803,0.234581,0.156756,0.114633,0.00340396,0.0022561,0.00421714,0.00342729,0.00176845
7.3,1.03198,1.17651,1.6373,0.237606,0.158374,0.115754,0.00348352,0.0023071,0.00434671,0.00354741,0.00182259
7.4,1.02328,1.16899,1.63657,0.240621,0.159976,0.116865,0.00356457,0.00235904,0.00447872,0.00367029,0.00187754
7.5,1.01463,1.1615,1.63582,0.243625,0.161562,0.117966,0.0036471,0.00241194,0.0046132,0.00379597,0.00193331
7.6,1.00605,1.15406,1.63506,0.246617,0.163131,0.119057,0.00373114,0.00246579,0.00475015,0.00392447,0.00198989
7.7,0.997535,1.14666,1.63428,0.249595,0.164683,0.120136,0.00381669,0.00252061,0.00488959,0.00405582,0.00204728
7.8,0.989091,1.1393,1.6335,0.252558,0.166217,0.121205,0.00390377,0.00257641,0.00503153,0.00419003,0.00210548
7.9,0.980721,1.13199,1.6327,0.255505,0.167733,0.122261,0.00399238,0.0026332,0.00517599,0.00432714,0.00216447
8,0.972427,1.12473,1.63189,0.258434,0.169231,0.123306,0.00408253,0.00269097,0.00532297,0.00446715,0.00222427
8.1,0.964212,1.11752,1.63107,0.261345,0.170709,0.124339,0.00417424,0.00274975,0.0054725,0.00461011,0.00228485
8.2,0.956078,1.11036,1.63023,0.264235,0.172167,0.12536,0.0042675,0.00280953,0.00562457,0.00475602,0.00234623
8.3,0.948029,1.10326,1.62938,0.267105,0.173605,0.126368,0.00436234,0.00287031,0.00577921,0.0049049,0.0024084
8.4,0.940066,1.09622,1.62852,0.269952,0.175023,0.127363,0.00445875,0.00293212,0.00593642,0.00505677,0.00247135
8.5,0.932192,1.08924,1.62765,0.272776,0.17642,0.128345,0.00455674,0.00299495,0.00609622,0.00521166,0.00253508
8.6,0.924408,1.08232,1.62676,0.275575,0.177796,0.129313,0.00465632,0.0030588,0.00625861,0.00536957,0.00259959
8.7,0.916718,1.07546,1.62587,0.278348,0.17915,0.130268,0.00475749,0.00312368,0.00642361,0.00553053,0.00266487
8.8,0.909122,1.06867,1.62495,0.281095,0.180483,0.131209,0.00486026,0.0031896,0.00659123,0.00569455,0.00273093
8.9,0.901623,1.06194,1.62403,0.283815,0.181794,0.132136,0.00496462,0.00325656,0.00676148,0.00586165,0.00279776
9,0.894223,1.05528,1.62309,0.286505,0.183083,0.133049,0.00507059,0.00332456,0.00693437,0.00603183,0.00286536
9.1,0.886922,1.0487,1.62214,0.289167,0.18435,0.133948,0.00517817,0.0033936,0.00710991,0.00620511,0.00293372
9.2,0.879722,1.04218,1.62117,0.291798,0.185594,0.134832,0.00528735,0.00346369,0.00728812,0.00638151,0.00300285
9.3,0.872625,1.03573,1.6202,0.294398,0.186816,0.135702,0.00539814,0.00353483,0.007469,0.00656104,0.00307274
9.4,0.865631,1.02936,1.61921,0.296967,0.188015,0.136556,0.00551054,0.00360703,0.00765256,0.0067437,0.00314339
9.5,0.858742,1.02306,1.6182,0.299502,0.189192,0.137396,0.00562454,0.00368027,0.00783882,0.00692951,0.0032148
9.6,0.851959,1.01683,1.61719,0.302005,0.190347,0.138222,0.00574016,0.00375458,0.00802779,0.00711848,0.00328697
9.7,0.845282,1.01068,1.61616,0.304473,0.191478,0.139032,0.00585738,0.00382993,0.00821947,0.00731062,0.0033599
9.8,0.838713,1.00461,1.61511,0.306907,0.192587,0.139827,0.00597621,0.00390635,0.00841388,0.00750593,0.00343359
9.9,0.832251,0.998609,1.61406,0.309306,0.193674,0.140606,0.00609664,0.00398382,0.00861103,0.00770442,0.00350804
10,0.825897,0.992689,1.61299,0.31167,0.194738,0.141371,0.00621867,0.00406234,0.00881094,0.00790611,0.00358324
10.1,0.819652,0.986847,1.6119,0.313997,0.19578,0.14212,0.0063423,0.00414193,0.0090136,0.008111,0.00365921
10.2,0.813516,0.981083,1.61081,0.316288,0.1968,0.142854,0.00646752,0.00422257,0.00921905,0.00831909,0.00373594
10.3,0.807488,0.975397,1.6097,0.318543,0.197797,0.143573,0.00659434,0.00430427,0.00942728,0.00853039,0.00381343
10.4,0.80157,0.969789,1.60857,0.32076,0.198773,0.144276,0.00672274,0.00438702,0.00963831,0.0087449,0.00389168
10.5,0.79576,0.96426,1.60744,0.32294,0.199727,0.144965,0.00685272,0.00447083,0.00985215,0.00896264,0.0039707
10.6,0.790059,0.95881,1.60629,0.325082,0.200659,0.145637,0.00698428,0.00455568,0.0100688,0.0091836,0.00405048
10.7,0.784467,0.953438,1.60512,0.327186,0.201571,0.146295,0.0071174,0.0046416,0.0102883,0.0094078,0.00413104
10.8,0.778983,0.948144,1.60395,0.329252,0.20246,0.146937,0.0072521,0.00472856,0.0105107,0.00963523,0.00421236
10.9,0.773607,0.942929,1.60276,0.331279,0.203329,0.147564,0.00738835,0.00481656,0.0107359,0.0098659,0.00429446
11,0.768338,0.937792,1.60155,0.333269,0.204178,0.148176,0.00752615,0.00490562,0.010964,0.0100998,0.00437734
11.1,0.763176,0.932732,1.60034,0.33522,0.205006,0.148773,0.0076655,0.00499572,0.011195,0.010337,0.004461
11.2,0.75812,0.92775,1.59911,0.337133,0.205814,0.149355,0.00780639,0.00508686,0.0114289,0.0105774,0.00454544
11.3,0.753169,0.922844,1.59786,0.339007,0.206602,0.149922,0.00794882,0.00517904,0.0116657,0.010821,0.00463067
11.4,0.748323,0.918015,1.5966,0.340843,0.20737,0.150474,0.00809277,0.00527226,0.0119054,0.0110679,0.00471669
11.5,0.743581,0.913261,1.59533,0.342641,0.208119,0.151011,0.00823823,0.00536651,0.0121481,0.0113181,0.0048035
11.6,0.738942,0.908583,1.59405,0.344401,0.20885,0.151533,0.00838521,0.0054618,0.0123937,0.0115715,0.00489112
